room_cnt,day_of_week,day_of_year,weather,scaled_room_id,isEvent,eventName
1,2,1,0.5,0.982,0,
3,2,1,0.5,0.038,0,
4,2,1,0.5,1.0,0,
11,2,1,0.5,0.241,0,
3,2,1,0.5,0.011,0,
4,3,2,0.5,1.0,0,
2,4,3,0.5,0.982,0,
6,4,3,0.5,0.337,0,
1,4,3,0.5,0.038,0,
7,4,3,0.5,1.0,0,
1,4,3,0.5,0.241,0,
3,5,4,1.0,0.982,0,
5,5,4,1.0,0.337,0,
1,5,4,1.0,0.038,0,
4,5,4,1.0,1.0,0,
6,5,4,1.0,0.241,0,
1,5,4,1.0,0.011,0,
2,6,5,0.0,0.982,0,
3,6,5,0.0,0.337,0,
4,6,5,0.0,1.0,0,
1,6,5,0.0,0.241,0,
3,7,6,0.0,0.982,1,Bogojavljenje\
1,7,6,0.0,0.337,1,Bogojavljenje\
5,7,6,0.0,1.0,1,Bogojavljenje\
2,1,7,0.0,0.982,1,Bogojavljenje\
2,1,7,0.0,0.337,1,Bogojavljenje\
4,1,7,0.0,1.0,1,Bogojavljenje\
2,1,7,0.0,0.241,1,Bogojavljenje\
1,1,7,0.0,0.002,1,Bogojavljenje\
15,2,8,0.0,0.982,0,
4,2,8,0.0,0.337,0,
2,2,8,0.0,1.0,0,
1,2,8,0.0,0.011,0,
1,2,8,0.0,0.002,0,
18,3,9,1.0,0.982,0,
19,3,9,1.0,0.337,0,
6,3,9,1.0,1.0,0,
3,3,9,1.0,0.241,0,
18,4,10,1.0,0.982,0,
27,4,10,1.0,0.337,0,
8,4,10,1.0,1.0,0,
2,4,10,1.0,0.241,0,
21,5,11,0.0,0.982,0,
14,5,11,0.0,0.337,0,
8,5,11,0.0,1.0,0,
3,5,11,0.0,0.241,0,
6,6,12,0.0,0.982,0,
8,6,12,0.0,0.337,0,
1,6,12,0.0,0.038,0,
4,6,12,0.0,1.0,0,
4,6,12,0.0,0.241,0,
2,7,13,0.0,0.982,0,
3,7,13,0.0,0.337,0,
1,7,13,0.0,0.038,0,
6,7,13,0.0,1.0,0,
4,7,13,0.0,0.241,0,
2,7,13,0.0,0.011,0,
5,1,14,0.0,0.982,0,
14,1,14,0.0,0.337,0,
1,1,14,0.0,0.038,0,
4,1,14,0.0,1.0,0,
1,1,14,0.0,0.011,0,
13,2,15,0.0,0.982,0,
19,2,15,0.0,0.337,0,
1,2,15,0.0,0.038,0,
3,2,15,0.0,1.0,0,
2,2,15,0.0,0.241,0,
1,2,15,0.0,0.011,0,
19,3,16,0.0,0.982,0,
17,3,16,0.0,0.337,0,
2,3,16,0.0,0.038,0,
4,3,16,0.0,1.0,0,
4,3,16,0.0,0.241,0,
2,3,16,0.0,0.011,0,
28,4,17,0.0,0.982,1,Rijecki karneval\
13,4,17,0.0,0.337,1,Rijecki karneval\
2,4,17,0.0,0.038,1,Rijecki karneval\
4,4,17,0.0,1.0,1,Rijecki karneval\
2,4,17,0.0,0.241,1,Rijecki karneval\
3,4,17,0.0,0.011,1,Rijecki karneval\
23,5,18,0.0,0.982,1,Rijecki karneval\
17,5,18,0.0,0.337,1,Rijecki karneval\
2,5,18,0.0,0.038,1,Rijecki karneval\
6,5,18,0.0,1.0,1,Rijecki karneval\
2,5,18,0.0,0.241,1,Rijecki karneval\
2,5,18,0.0,0.011,1,Rijecki karneval\
14,6,19,0.0,0.982,1,Rijecki karneval\
11,6,19,0.0,0.337,1,Rijecki karneval\
2,6,19,0.0,0.038,1,Rijecki karneval\
5,6,19,0.0,1.0,1,Rijecki karneval\
4,6,19,0.0,0.241,1,Rijecki karneval\
2,6,19,0.0,0.011,1,Rijecki karneval\
9,7,20,1.0,0.982,1,Rijecki karneval\
5,7,20,1.0,0.337,1,Rijecki karneval\
1,7,20,1.0,0.038,1,Rijecki karneval\
7,7,20,1.0,1.0,1,Rijecki karneval\
5,7,20,1.0,0.241,1,Rijecki karneval\
3,7,20,1.0,0.011,1,Rijecki karneval\
12,1,21,1.0,0.982,1,Rijecki karneval\
10,1,21,1.0,0.337,1,Rijecki karneval\
4,1,21,1.0,1.0,1,Rijecki karneval\
6,1,21,1.0,0.241,1,Rijecki karneval\
1,1,21,1.0,0.011,1,Rijecki karneval\
15,2,22,0.0,0.982,1,Rijecki karneval\
27,2,22,0.0,0.337,1,Rijecki karneval\
4,2,22,0.0,1.0,1,Rijecki karneval\
2,2,22,0.0,0.241,1,Rijecki karneval\
14,3,23,0.0,0.982,1,Rijecki karneval\
17,3,23,0.0,0.337,1,Rijecki karneval\
8,3,23,0.0,1.0,1,Rijecki karneval\
6,3,23,0.0,0.241,1,Rijecki karneval\
2,3,23,0.0,0.011,1,Rijecki karneval\
20,4,24,1.0,0.982,2,Rijecki karneval\Tempus JEP Project Conference\
26,4,24,1.0,0.337,2,Rijecki karneval\Tempus JEP Project Conference\
4,4,24,1.0,1.0,2,Rijecki karneval\Tempus JEP Project Conference\
2,4,24,1.0,0.011,2,Rijecki karneval\Tempus JEP Project Conference\
10,5,25,1.0,0.982,2,Rijecki karneval\Tempus JEP Project Conference\
2,5,25,1.0,0.337,2,Rijecki karneval\Tempus JEP Project Conference\
1,5,25,1.0,1.0,2,Rijecki karneval\Tempus JEP Project Conference\
1,5,25,1.0,0.011,2,Rijecki karneval\Tempus JEP Project Conference\
7,6,26,1.0,0.982,1,Rijecki karneval\
3,6,26,1.0,0.337,1,Rijecki karneval\
1,6,26,1.0,1.0,1,Rijecki karneval\
1,6,26,1.0,0.011,1,Rijecki karneval\
5,7,27,1.0,0.982,1,Rijecki karneval\
1,7,27,1.0,0.337,1,Rijecki karneval\
1,7,27,1.0,0.038,1,Rijecki karneval\
3,7,27,1.0,1.0,1,Rijecki karneval\
2,7,27,1.0,0.241,1,Rijecki karneval\
8,1,28,1.0,0.982,1,Rijecki karneval\
3,1,28,1.0,0.337,1,Rijecki karneval\
3,1,28,1.0,1.0,1,Rijecki karneval\
3,1,28,1.0,0.241,1,Rijecki karneval\
19,2,29,1.0,0.982,1,Rijecki karneval\
24,2,29,1.0,0.337,1,Rijecki karneval\
13,2,29,1.0,1.0,1,Rijecki karneval\
2,2,29,1.0,0.241,1,Rijecki karneval\
9,3,30,0.0,0.982,1,Rijecki karneval\
22,3,30,0.0,0.337,1,Rijecki karneval\
9,3,30,0.0,1.0,1,Rijecki karneval\
8,3,30,0.0,0.241,1,Rijecki karneval\
24,4,31,0.0,0.982,1,Rijecki karneval\
33,4,31,0.0,0.337,1,Rijecki karneval\
