,stay_date,room_cnt,isEvent,event_category
0,2008-01-01,22,0,0.0
1,2008-01-02,4,0,0.0
2,2008-01-03,17,0,0.0
3,2008-01-04,20,0,0.0
4,2008-01-05,10,0,0.0
5,2008-01-06,9,0,0.0
6,2008-01-07,11,0,0.0
7,2008-01-08,23,0,0.0
8,2008-01-09,46,0,0.0
9,2008-01-10,55,0,0.0
10,2008-01-11,46,0,0.0
11,2008-01-12,23,0,0.0
12,2008-01-13,18,0,0.0
13,2008-01-14,27,0,0.0
14,2008-01-15,41,0,0.0
15,2008-01-16,48,0,0.0
16,2008-01-17,52,1,1.0
17,2008-01-18,52,1,1.0
18,2008-01-19,38,1,1.0
19,2008-01-20,30,1,1.0
20,2008-01-21,33,1,1.0
21,2008-01-22,48,1,1.0
22,2008-01-23,49,1,1.0
23,2008-01-24,53,2,2.0
24,2008-01-25,14,2,2.0
25,2008-01-26,12,1,1.0
26,2008-01-27,12,1,1.0
27,2008-01-28,17,1,1.0
28,2008-01-29,58,1,2.0
29,2008-01-30,48,1,1.0
30,2008-01-31,79,1,2.0
31,2008-02-01,63,1,2.0
32,2008-02-02,56,1,1.0
33,2008-02-03,108,1,2.0
34,2008-02-04,71,1,2.0
35,2008-02-05,57,1,1.0
36,2008-02-06,63,0,0.0
37,2008-02-07,65,0,0.0
38,2008-02-08,64,0,0.0
39,2008-02-09,35,0,0.0
40,2008-02-10,29,0,0.0
41,2008-02-11,37,0,0.0
42,2008-02-12,65,0,0.0
43,2008-02-13,62,0,0.0
44,2008-02-14,74,0,0.0
45,2008-02-15,51,0,0.0
46,2008-02-16,42,0,0.0
47,2008-02-17,22,0,0.0
48,2008-02-18,30,0,0.0
49,2008-02-19,51,0,0.0
50,2008-02-20,49,0,0.0
51,2008-02-21,49,0,0.0
52,2008-02-22,53,0,0.0
53,2008-02-23,50,0,0.0
54,2008-02-24,37,0,0.0
55,2008-02-25,23,0,0.0
56,2008-02-26,41,0,0.0
57,2008-02-27,57,0,0.0
58,2008-02-28,50,0,0.0
