datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,preciptype,cloudcover
2008-01-01,43.4,32.0,39.0,40.9,25.0,34.3,49.7,0.02,100,"rain,snow",28.5
2008-01-02,42.9,30.9,35.7,40.2,23.0,31.2,57.5,0.008,100,"rain,snow",28.4
2008-01-03,39.9,30.7,35.3,39.3,23.2,32.1,58.9,0.0,0,"rain,snow",66.5
2008-01-04,51.5,37.9,44.3,51.5,32.4,42.4,57.0,0.0,0,,87.7
2008-01-05,49.4,40.8,46.3,49.4,37.6,45.5,90.9,0.051,100,rain,95.3
2008-01-06,50.1,43.3,49.0,50.1,43.3,48.1,96.3,1.185,100,rain,98.7
2008-01-07,52.4,42.8,47.8,52.4,41.2,47.4,91.0,0.012,100,rain,94.3
2008-01-08,60.5,36.9,49.5,60.5,35.9,49.1,65.9,0.202,100,rain,37.5
2008-01-09,46.8,39.3,44.6,46.7,36.4,43.9,86.2,0.0,0,,84.6
2008-01-10,49.6,41.9,46.0,49.6,40.3,45.7,90.2,0.0,0,,86.5
2008-01-11,51.3,42.5,48.0,51.3,42.5,47.2,94.7,0.35,100,rain,99.2
2008-01-12,58.7,49.0,53.3,58.7,46.1,53.1,82.1,1.134,100,rain,90.5
2008-01-13,54.4,46.0,49.9,54.4,42.7,49.1,78.6,0.672,100,rain,97.5
2008-01-14,53.7,41.2,46.8,53.7,39.4,46.2,74.8,0.011,100,rain,55.6
2008-01-15,53.3,42.6,47.3,53.3,41.2,46.7,86.2,0.298,100,rain,91.3
2008-01-16,52.4,47.7,50.0,52.4,44.5,48.6,87.1,0.288,100,rain,91.5
2008-01-17,52.0,48.8,50.4,52.0,47.6,50.1,89.2,0.577,100,rain,96.7
2008-01-18,51.8,45.8,49.4,51.8,45.8,49.4,92.5,0.417,100,rain,93.2
2008-01-19,49.7,42.5,46.1,49.7,42.5,46.1,91.0,0.012,100,rain,79.0
2008-01-20,46.5,37.7,43.3,46.5,37.7,43.0,89.3,0.0,0,,89.0
2008-01-21,46.5,43.0,44.8,46.5,41.6,44.7,84.7,0.0,0,,98.4
2008-01-22,49.2,44.5,46.6,47.9,41.4,45.6,90.1,0.228,100,rain,88.3
2008-01-23,47.6,38.6,42.9,43.4,33.3,38.6,38.7,0.02,100,rain,10.3
2008-01-24,56.5,34.2,44.1,56.5,30.6,42.5,45.7,0.0,0,,5.0
2008-01-25,55.5,35.0,45.0,55.5,31.9,44.0,53.0,0.0,0,,37.9
2008-01-26,57.8,35.6,46.0,57.8,30.8,44.6,39.6,0.0,0,,6.0
2008-01-27,49.7,33.6,41.3,49.7,30.4,40.6,68.9,0.0,0,,62.5
2008-01-28,55.0,35.0,47.1,55.0,31.5,45.8,57.2,0.0,0,,19.7
2008-01-29,56.4,37.4,46.1,56.4,33.2,44.9,61.3,0.0,0,,8.3
2008-01-30,46.8,36.2,43.7,46.8,31.8,42.9,78.0,0.118,100,rain,80.3
2008-01-31,51.1,40.0,46.4,51.1,37.5,45.8,83.8,0.658,100,rain,83.7
2008-02-01,48.5,36.9,44.5,48.5,32.6,43.8,83.3,0.0,0,,87.7
2008-02-02,50.3,42.9,47.5,50.3,40.6,46.2,92.9,1.056,100,rain,91.2
2008-02-03,47.9,41.7,44.5,47.9,33.6,41.8,78.5,1.024,100,rain,96.6
2008-02-04,55.0,45.5,49.8,55.0,44.8,48.8,92.2,1.197,100,rain,93.9
2008-02-05,58.2,43.3,51.9,58.2,41.0,51.8,68.2,0.169,100,rain,60.0
2008-02-06,56.0,39.8,47.3,56.0,37.4,46.9,76.0,0.0,0,,39.5
2008-02-07,57.3,40.7,50.1,57.3,38.4,49.0,46.8,0.0,0,,18.7
2008-02-08,49.7,41.5,45.9,49.7,36.3,41.7,41.0,0.0,0,,28.2
2008-02-09,50.6,42.7,45.9,50.6,36.4,42.8,47.8,0.0,0,,13.8
2008-02-10,49.7,40.6,44.9,48.4,34.2,42.5,51.8,0.0,0,,44.1
2008-02-11,48.8,39.2,42.6,47.1,32.7,38.5,46.0,0.0,0,,24.7
2008-02-12,49.7,33.2,40.2,49.7,28.2,37.0,48.0,0.0,0,,3.4
2008-02-13,54.6,32.2,41.4,54.6,24.6,39.4,42.7,0.0,0,,0.0
2008-02-14,56.4,31.0,42.6,56.4,26.8,41.2,48.0,0.0,0,,0.0
2008-02-15,47.6,32.3,40.1,47.6,28.0,36.5,51.8,0.0,0,,12.3
2008-02-16,42.2,29.9,35.7,36.8,22.5,30.9,38.7,0.0,0,,6.6
2008-02-17,40.5,21.0,31.7,40.5,9.1,28.1,37.7,0.0,0,,16.4
2008-02-18,47.9,27.3,36.9,47.9,20.7,34.6,45.8,0.0,0,,19.0
2008-02-19,52.1,28.6,39.6,52.1,22.3,38.3,66.6,0.0,0,,9.2
2008-02-20,51.2,31.3,42.3,51.2,26.2,40.5,77.6,0.0,0,,70.5
2008-02-21,54.0,38.9,45.2,54.0,35.7,43.9,65.5,0.0,0,,21.8
2008-02-22,55.5,35.4,44.4,55.5,31.4,43.2,65.8,0.0,0,,38.7
2008-02-23,56.4,36.7,45.6,56.4,33.8,44.6,67.0,0.0,0,,37.8
2008-02-24,58.4,36.2,46.0,58.4,36.2,46.0,74.3,0.0,0,,14.2
2008-02-25,58.3,36.2,43.4,58.3,36.2,42.8,86.6,0.0,0,,21.1
2008-02-26,47.4,36.7,41.4,47.4,35.0,41.0,92.5,0.0,0,,47.2
2008-02-27,47.7,42.7,45.4,47.7,39.3,44.9,93.2,0.012,100,rain,95.3
2008-02-28,59.1,44.8,51.2,59.1,44.8,51.2,79.3,0.0,0,,80.6
2008-02-29,50.3,41.3,47.7,50.3,39.7,47.7,92.2,0.0,0,,91.4
2008-03-01,55.7,45.3,50.5,55.7,42.7,49.4,89.9,0.107,100,rain,85.7
2008-03-02,57.2,40.6,50.7,57.2,37.3,50.0,81.4,0.0,0,,35.5
2008-03-03,58.8,48.7,53.7,58.8,46.1,53.5,76.9,0.0,0,,67.0
2008-03-04,55.4,39.3,46.8,55.4,31.2,42.2,73.5,0.201,100,rain,88.7
2008-03-05,44.0,35.6,41.8,39.0,25.6,33.2,54.5,0.062,100,rain,80.4
2008-03-06,41.4,32.5,38.5,34.1,19.9,28.6,47.7,0.0,0,,69.0
2008-03-07,49.3,35.8,43.6,49.3,24.5,38.2,64.9,0.116,100,rain,90.6
2008-03-08,56.0,37.9,46.1,56.0,32.2,44.1,81.0,0.233,100,rain,88.4
2008-03-09,50.3,37.8,45.7,50.3,35.5,45.6,86.6,0.039,100,rain,84.0
2008-03-10,55.4,44.5,49.5,55.4,40.0,48.4,86.3,0.388,100,rain,89.6
2008-03-11,52.1,41.9,48.8,52.1,39.2,47.9,89.1,0.28,100,rain,81.6
2008-03-12,54.2,37.7,47.2,54.2,34.2,46.5,86.0,0.0,0,,72.5
2008-03-13,61.1,46.0,53.3,61.1,42.6,52.8,66.3,0.012,100,rain,45.1
2008-03-14,59.0,41.5,51.5,59.0,38.6,50.5,64.8,0.0,0,,51.5
2008-03-15,58.7,45.0,53.2,58.7,43.7,52.9,70.9,0.0,0,,80.9
2008-03-16,55.6,51.4,52.8,55.6,51.4,52.8,90.2,0.11,100,rain,92.8
2008-03-17,60.2,43.4,52.5,60.2,40.7,52.1,76.3,0.167,100,rain,57.3
2008-03-18,50.4,39.8,45.2,50.4,33.9,41.6,69.4,0.241,100,rain,66.0
2008-03-19,54.2,32.5,44.6,54.2,24.6,41.7,44.6,0.11,100,"rain,snow",11.1
2008-03-20,53.7,33.8,44.0,53.7,26.7,41.2,43.2,0.0,0,,50.5
2008-03-21,51.8,30.3,43.3,51.8,26.8,40.6,59.4,0.0,0,,74.2
2008-03-22,54.9,42.8,48.4,54.9,38.2,46.1,77.8,1.14,100,rain,93.6
2008-03-23,51.1,37.2,44.8,51.1,34.3,42.5,80.4,0.377,100,rain,85.6
2008-03-24,45.9,36.7,41.4,45.9,32.5,39.4,82.3,1.202,100,rain,90.6
2008-03-25,47.4,33.8,40.0,47.4,28.8,37.5,66.7,0.029,100,"rain,snow",62.5
2008-03-26,53.5,31.7,44.0,53.5,25.9,42.3,56.0,0.012,100,rain,37.7
2008-03-27,54.2,44.7,48.8,54.2,42.0,47.6,76.8,0.407,100,rain,88.9
2008-03-28,60.5,46.1,51.6,60.5,42.3,50.7,63.9,0.012,100,rain,72.8
2008-03-29,65.3,42.3,53.7,65.3,42.3,53.6,60.2,0.0,0,,20.7
2008-03-30,66.3,45.1,54.8,66.3,40.1,53.8,50.2,0.045,100,rain,5.7
2008-03-31,65.6,41.5,53.5,65.6,39.0,53.1,56.0,0.0,0,,41.5
2008-04-01,70.1,42.9,59.9,70.1,40.8,59.8,47.3,0.0,0,,20.9
2008-04-02,61.8,45.1,53.6,61.8,41.7,53.1,65.5,0.28,100,rain,73.9
2008-04-03,60.0,42.9,51.2,60.0,40.1,50.4,55.6,0.001,100,rain,63.9
2008-04-04,60.2,49.5,54.9,60.2,48.4,54.8,39.6,0.0,0,,48.7
2008-04-05,59.6,45.9,52.5,59.6,41.6,51.6,46.9,0.0,0,,43.8
2008-04-06,60.3,41.1,51.3,60.3,36.2,50.5,57.6,0.0,0,,41.0
2008-04-07,62.7,52.4,55.9,62.7,52.4,55.9,72.0,0.021,100,rain,82.2
2008-04-08,58.3,51.3,55.5,58.3,51.3,55.5,82.0,0.161,100,rain,78.5
2008-04-09,61.1,51.1,55.1,61.1,51.1,55.1,85.9,0.123,100,rain,95.5
2008-04-10,60.3,51.9,54.9,60.3,51.9,54.9,93.0,1.188,100,rain,96.9
2008-04-11,64.1,55.7,58.3,64.1,55.7,58.3,87.0,0.525,100,rain,88.5
2008-04-12,62.7,50.3,57.5,62.7,50.3,57.5,82.3,0.33,100,rain,79.5
2008-04-13,59.3,46.4,51.6,59.3,44.9,51.5,81.5,0.37,100,rain,73.5
2008-04-14,61.1,44.9,52.7,61.1,43.0,52.4,77.2,0.0,0,,57.5
2008-04-15,54.2,47.1,49.9,54.2,45.6,49.4,87.2,0.519,100,rain,82.3
2008-04-16,55.9,46.5,50.1,55.9,45.0,49.5,80.7,0.285,100,rain,64.1
2008-04-17,62.4,49.7,54.5,62.4,48.6,54.4,77.5,1.079,100,rain,78.1
2008-04-18,62.8,52.3,56.2,62.8,52.3,56.2,80.8,0.479,100,rain,88.3
2008-04-19,68.9,51.2,58.4,68.9,51.2,58.4,76.7,0.809,100,rain,68.4
2008-04-20,68.0,54.0,60.0,68.0,54.0,60.0,75.2,0.0,0,,47.4
2008-04-21,67.7,50.6,56.9,67.7,50.6,56.9,74.0,0.792,100,rain,62.2
2008-04-22,56.0,51.5,54.0,56.0,51.5,54.0,88.2,0.296,100,rain,84.9
2008-04-23,61.2,47.9,54.5,61.2,47.4,54.4,82.4,0.238,100,rain,70.8
